step,loss,feedback_used_fraction,success_group_fraction,mean_length,reward_mean
1,0.006088,1.0,0.0,3597.0,0.0
2,0.1059,0.5625,0.5,4184.0,0.0625
3,0.2064,0.0,1.0,4154.0,0.25
4,0.01019,1.0,0.0,4057.0,0.0
5,0.01133,1.0,0.0,5311.0,0.0
6,0.1103,0.5,0.5,3643.0,0.5
7,0.1399,0.5625,0.5,4324.0,0.0625
8,0.01565,1.0,0.0,4540.0,0.0
9,0.2095,0.0,1.0,2930.0,0.5625
10,0.1834,0.0,1.0,4188.0,0.375
11,0.1914,0.0,1.0,2317.0,0.5625
12,0.009635,1.0,0.0,4062.0,0.0
13,0.1148,0.5,0.5,3060.0,0.5
14,0.03346,1.0,0.0,3631.0,0.0
15,0.1548,0.5,0.5,3777.0,0.125
16,0.026,1.0,0.0,3830.0,0.0
17,0.135,0.5625,0.5,3861.0,0.0625
18,0.1246,0.5,0.5,3364.0,0.25
19,0.1287,0.5,0.5,2840.0,0.1875
20,0.1092,0.5,0.5,3381.0,0.5
21,0.1781,0.0,1.0,2508.0,0.8125
22,0.1398,0.5,0.5,3607.0,0.3125
23,0.01216,1.0,0.0,3477.0,0.0
24,0.009657,1.0,0.0,3920.0,0.0
25,0.13,0.5625,0.5,3702.0,0.0625
